P1A1,P1A2,P1A3,P1A4,P1A5,P1A6,P2A1,P2A2,P2A3,P2A4,P2A5,P2A6
 Bought car, 50% (7), Ft. Lauderdale, dog (32) ," cereal (54)",, Smoking (17), 60% (7), Miami (15), bear (11) , fruit (11),
 Sun (2), bear (2), 35 (8), sweaters (21) ," roller (22)",, Wedding ring/jewelry (4), elephant (26), 16, blankets (31) , turkey,
 Nine (3), hold each other (3), carnival rides, way (23) ," pig (49)",, Eight (12), blanket over head (5), cars (32), marine (50) , calf (39)- W,
 5 (2), Victoria/Vicki(e)/Vicky (29), ball/toys (35), Mirror (19) ," drink water (26)",, 8 (23), Veronica (27), bottles (24), Moon (39) , stretch- W,
 Owner (31), multitasking, 11 (6), of my hand ," sunflower (45)",, Cat (13), go to bathroom (2), 13 (22), pad , pumpkin (15),
 Arm (18), 2 (10), hot chocolate (27), skin (19) ," Honolulu (2)",, Chest (3), 5 (17), fireplace (7), hair (33) , CA,
 30 (16), emerald (22), lose (9), cakes (48) ," purple (61)",, 40 (25), pearl (2), gain , cookies (22)- W,,
 Pray (22), arms (17), two yrs. (24), head (32) ," pocket (56)",, Brush teeth (33), legs (15), yr. (30), guard , socket,
 Chest (29), 8 (21), apples/fruit (7), pig ," perfume (41)",, “Specials” (5- chest tied for #1 w/ abs), 7 (7), nuts (12), cow (3) , vanilla (8),
 3 (3), Viagra (20), home (6), mom (32) ," coats (23)",, 5 (19), BAND-AIDs, car (18), spouse/mate (9) , wreath (3),
 Summertime (23), two (22), belly (38), fly (2) ," business (57)",, Spring (16), four (20), butt (3), roach (14) , manners (37)- W,
 Giraffe, seven (2), dishwasher (5), pump (4) ," tiger (49)",, Baboon (6), 13 (26), screwdriver, dump (5) , bear,
 Bird (6), wallet (11), fridge (33), essence ," halo (28)",, Bunny, top (12), vacuum , my grandma,,
,,,,,,,,,,,
 Ten (20), candy (29), it's too slow (31), spider (23) ," air",, Eight, lemonade (36), children, ant (42) , waves crashing (61)- W,
 Fashion (25), 8 (13), onion rings (11) ," bathroom (43)",,, Makeup, 6 (23- tied w/ 5), shrimp (10), water (38) , kitchen (14),
 Church (21), Fettuccine (7), 10 (10), walking (42) ," car (45)",, School (8), lasagne (31), 12, dancing (6) , home (8),
 Booze (34), 6 (5), stinky (9), police ," meow (50)",, Cellphone (50), 8 (2), dwinky, Dr. , purr (32),
 12 (25), cat (8), lightning (47), sight (13) ," onions (36)",, 13 (13), fish (29), fists, bark (18) , fish (5),
 500 (13), piano (19), carnation (37) ," water (47)",,, Cab (59), 100 (21), harp (25), rose , sand ,
 You (25), glass (4), table/chairs (2), Science (3) ," walk (58)",, Life jacket (8), eggs (22), glasses (6), Math (43) , driving (29)- HEARTBREAK,
 5 (27), time (28), cheesecake (17), baseball (43) ," face (49)",, 8 (16), $ (8), cheese pizza (2), soccer (16) , hands- W,
 Bugs (21), $5 (25), cakes (32), oil (30) ," restaurant (49)",, Dirty (sheets)(33), $1 (17; I would've guessed $0)(cakes tied for #1 w/ people), presents, gas , movies- W,
 5 (22), tease (28), bed/pillow (22) ," neighbors (11)",,, 2 (10), hot sweet/sour (10) , The Moon (42),,,
 Fill their pants (41), 15 (6), wheat (37), gauze ," cat (11)",, Burp (5), 20 (21), white (12), scalpel (34- tied w/ nurse) , dog (40)- W,
 Drink beer (30), 25 (22), love (12), gorilla (18) ," shave it (2)",, Tell stories (4), 30 (21), luck (24), dog (33) , dye it (4),
 7 (13), sleep (9), pizza (29), shoes ," coat (43)",, 8 (6), sing (17), French fries, ball (16) , scarf (16),
 Drink water (17), 10 min. (27), beer (2), people (41) ," gills (59)",, TV (31), five min. (27), Spice, pet/animal , scales- W,
 Cabbage (2), 50% (22), refrigerator (26), food (38) ," Flag Day",, Cookies (5), 90% (10), clock, cigarettes (15) , amusement park (3),
 Wedding/anniv. (32), pillows (24), pizza (8), 5 (5) ," skis (57)",, Valentine's Day, bed (13- pillows tied for #1 w/ pet), cake (3), 7 (6) , poles (2),
 3 (6), orange (4), fitter, booze (48) ," Ice (58)",, 5 (19), yellow (18), flitter (16), soda (31) , Rubik's- W,
 Doggus (39), hook (31), car (5), 13 (42) ," Hot (10)",, Tiger, chain (8), bed (16), 14 (21) , White (9),
 90 (18), camel (16), shrimp (12), in love (3) ," basketball (20)",, 75 (10), mule (12), crab (23), yours (21) , baseball (44),
 Once (29), corn (6), queen (19), animals (31) ," mask (54)",, Three (16), spaghetti (38), knight (15), humans , gloves- W,
 Loving (15), Play, peel it (29), fireplace (2) ," lipstick (53)",, $, Shoe (11), chip it (6), Christmas lights/candles (42) , foundation (2),
 Golf course (11), 10 (9), cake (2), tools (26) ," to eat (6)",, Lakes (8), 7 (11), brownies (26), motorcycles (5) , stores/the mall (46),
 Wife (29), eat I.C. (38) ," been good? (54)",,,, Food/drink (14) , sing ,,,,
 Bear (19), 70 (30), cards (12), freak (46) ," under bed (14)",, Doggus (22), 80 (17), decorations (12), remote , closet (53)- W,
 40 (22), ass (2), horse (29), drugs (39) ," black (37)",, 35 (21), babies, camel (28), guns/weapons (44) , white- IT HAS HAPPENED TWICE IN A ROW!!!!!,
 Bell (18), gorilla (7), white (23), cleaning (3) ," 30 (46)",, Santa (11), bear (9), tan (6), $ (35) , 60 (13),
 Work, 7 (29), cats (28), coworker (37) ," apple (4)",, Smoking (2), 8 (19), bones (9), neighbor , orange (13),
 Alcohol (21), 9 (14), U.S., spouse/mate (18) ," hips (7)",, Massages (7), 5 (13), Brazil, mom (34) , elbows (18),
 Three (18), nose (14), the gold (30), eat (49) ," cantaloupe (8)",, Seven (18), head (18), first, play sport , grapefruit (47)- W,
 Stomach growls (14), socks (4), 50 (13), football (13) ," hat (56)",, Get hungry (8), cheese (33), 40 (39), basketball (43) , cape- W,
 Pillow (27), chocolate (17), hair (14), fridge (29) ," six (44)",, Remote (12), cereal, dog (19), water (8) , 12 (5),
 Sex (16), face (4), maintenance guy/janitor (31), five (33) ," rice (16)",, Eat breakfast (19), stomach (23), construction (3), three (22) , mice (51)- W,
 9, elephant (5), be more confident, driving (38) ," petunia (44)",, 7 (5), rhino, marry (37), church (26) , pink rose,
 Five (24), orange (29), condoms (6), laugh (7) ," giraffe",, Three (17), onion (18), phone, scream (30) , platypus (10),
 10 min. (31), toe (8), basketball (26), dogs (38) ," New Yr.'s (53)",, 20 min. (18), “& the Brain” (8), football (37), cats , St. Patrick's Day,
 50 (4), baseball glove (21), psychologist (3), rats (38) ," America (42)",, 0 (22), golf clubs (9), pediatrician (7), birds , Italy (4),
 Mom (23), 6PM, oceans (16), code (19) ," good-looking (12)",, Sister-in-law (2), 10PM (27), watermelons, eggs (11) , happy (5),
 Smoking (38), God (29), your class (10), 12 (34) ," car (48)",, Drinking (44), magic, a list, 13 , train,
 Knee (6), gopher (17), seven, cellphone (3) ," married (45)",, Throat (19), rabbit (23), three (21) , computer (20),,
 7 (13), snowballs (27), high (10), shoes/clothes (39) ," airplanes (41)",, 3 (18), snowmen (27), low, furniture (7) , weather balloons (20)- W,
 10 (24), under bed (33), die young, firecrackers (14) ," rings (62)",, 9 (4), closet (28), witch (4), their mouths (48) , gloves- W,
 2 (4), wicker (18), saddle (12), flowers ," Germany",, 3 (17), straw (2), helmet, medicine (12) , France (38),
 12 (12), Stock (19), cheetah (32), brushes (37) ," bacon (15)",, 11 (8), Super (22), jaguar (2), pencils (14) , pancakes (11),
 Dr., a wk. (21), demon (14), Fri. (7) ," FL",, Lawyer, two wks. (13), “Racer” (26), Sat. (15) , CA (49),
 100 (12), candy (8), dong (8), L.A. (40) ," snake (47)",, 50 (13), pizza (31), arms (16), CHI (7) , fish (19)- W,
 Belly (37), $ (32), (bow) tie (38), elephant (35) ," shortstop (20)",, Back was too late, food (22), cuff links (14), fox , pitcher (45),
 10 (10), gopher (14), tooth (15), Ebony ," error (54)",, 9 (7), squirrel (25), sour (5), US Weekly (4) , accident (4),
 CDs, $1K (8), throw stuff off desk ," mints (6)",,, Family (17), $500 (8), cuss 'em out (9), peas , undies,
 25 (6), bar (20), violet (28), sex (33) ," potatoes (47)",, 21, bathroom (17), tulip (5), exercise , bread (9),
 Seven (20), kick it (15), chair (21), lemon (49) ," pencil (30)",, Five (8), throw/shoot it (33), horse , mint,,
 Tattoos (24), four (17), basketball (10), hot dogs/food (35) ," walnut (53)",, Stitches, five (25), baseball (29), drugs (13) , chestnut ,
 7 (6), belle (21), home (2), KS (51) ," neck (45)",, 9 (5), comfort (21), clothes (8), KY (49) , chest,
 Shoes (26), ping-pong, bread (11), sports (12) ," dog (12)",, Blouses, roulette, on the cob (15), comics (30) , whale,
 Cantaloupe (6), 8 (22), head (22), robin ," football (44)",, Grapefruit (26), 10 (24), “PO-TOT-O” (2), turkey/duck (30) , basketball (14),
 Flowers (7), $30, bunny (24), car (35) ," soap (42)",, Rocks (20), $29, cat (6), pair of shoes (12) , snake,
 40 (24), humans (19), chopped liver, belly/stomach (20) ," TV (47)",, 50 (26), bugs (2), chopstick (24), leg (8) , folding clothes,
 Two wks., Bird (2), sitting inside, the Sun (13) ," floating device (15)",, Two days (26- tied w/ three days), Buffalo/Chicken (26), bowling, cold/illness (47) , emergency lights,
 Coke (37), snake (13), twenty-five, church (34) ," happiness (32)",, Water (24), fish (27), ten (24), watch football/TV (11) , love,
 Changing diapers (46), 15 (3), P.B. (34), pig (39) ," hose (54)",, Feeding 'em (19), 16, mustard, cow (30) , ladder,
 Children (26), green (3), run in the street (3), three (16) ," police officer (16)",, The road, leaping (14), lie (28), two (30) , firefighter (42),
 Dr. (14), firecrackers, mall (14), hr. (17) ," phone (47)",, Lawyer/judge (29), eggs (7), beach (22), six hrs. , time (8),
 Strip joint (21), Chip (and)(21), month (33), tent (26) ," shoes (54)",, Bar/club (40), Skinny (16), two months, animals , socks,
 Two months, I.C. (11), nurse (14), tummy (40) ," children (36)",, Nine months, pizza (28), bartender (3), butt (7) , $ (55),
 5 (12), pick nose (9), stink (4), rice (2) ," clothes (3)",, 8 (9), sleep (6), blink (27), bread , cars (4),
 8 (25), $/success (24), saw (11), massage (30) ," vision/can't see (54)",, 9 (4- 8 tied for the top w/ 5), girls (15), cars (45), soak , broken ,
 Mercedes-Benz/car (7), five (17), muscles (17), giraffe (45) ," soda (42)",, Kids (6), two (13), sled, gorilla (18) , candy (48),
 Five (24), charger, camel (29), lollipops/candy (16) ," U.S. (50)",, Seven (3), spouse/mate (15), kangaroo, water ice (11) , Lebanon,
 10 (16), wife, sex (2), breasts ," $ (46)",, 9 (9), base (13), zits/acne (38), hot-air balloons , to be sexy and thin,
 8 (21), barking (14), kiss (36), sugar (45) ," guitar (48)",, 5 (3), licking (23), car (13), honey , violin ,
 Bees (20), 2 (25), concerts (6), Christmas (39) ," Hamburger (62)",, Spiders (15), 3 (18), amusement park (15), Thanksgiving , Peppermint,
 Friends (2), 3 (24), flamingo, elbows (2) ," pie (57)",, Yourself (26), 2 (9), hippo (6), hips (2) , Jacks (4),
 8 (3), pig (21), sleep (26), business (36) ," potato chips (44)",, 9, poodle, brush teeth (2), see (, monkey do)(7) , fries
 Thongs, toothbrush, three (21), tea (16) ," bicycles (6)",, Shorts (10), drill (22), five (6), water (7) , wallet,
 8 (9), children (18), fox (24), clarinet (8) ," leeches (12)",, 1 (31), boss/coworkers (22), ferret (15), saxophone (12) , mosquitoes (41),
 Flies (31), 10 (3), trees (39), cars ," CA (53)",, Ants (7), 4 (3), ladders (4), hair (6) , HI (46),
 1 (3), Valentine's Day (30), shoes/sneakers (45), (cheese)burgers (30) ," family's home (24)",, 9 (7), New Yr.'s Eve (13- Mother's Day , VD tied for #1), socks (30), burritos , at home (42)
 9 (13), put on makeup (4), firefighter (35), pig (37) ," hands (19)",, 8 (21), stop/wait (28), cook (34), chicken (14) , forehead– IT'S NOW HAPPENED AN UNPRECEDENTED (I think) THIRD TIME THIS SEASON!!!!!!,
 Fence (2), booty/treasure (24), AZ, get dressed (14) ," pictures (53)",, Floaties (4), parrot (4), CA (5), brush teeth (4) , urn (5) ,
 Bar (25), fries (15), grade (2), 9 (21) ," stomach (43)",, Basement (bar tied for #1 w/ garage), mustard (8), base (21), 8 (36) , chest (12),
 Dress better (9), two yrs. (20), kids (21) ," car (47)",,, Makeup (11), three yrs. (17), spouse/mate (29), quit/get new job (31) , hair,
 Leg (19), tennis (4), ring (39), five (42) ," car (29)",, Arm (14), basket (28), necklace (11), six (25) , beans,
 Oregano (8), love, stirrups, 9 (19) ," vacation (51)",, Meat (20), -in-law (6), saddle (29), 10 (38) , wedding (34),
 7 (5), broccoli (23), walks (20), fingers (7) ," shoes (50)",, 8 (23), carrots (13), taxi (7), stethoscope/instruments (31) , newspaper,
 10 (24), bread (23), construction (30), teeth (17) ," undies (8)",, 5 (23), watermelon/fruit (25), railroad worker, trash (16) , charm (6),
 7 (13), Sept. (6), hills (8), meat (39) ," $ (36)",, 10 (22), Jun. (25), Stones (32), lettuce (15) , cheating (44),
 Three (18), milk (15), alley, dressing/stuffing (31) ," car wash (41)",, Two (17), $ (21), animal (32), mashed potatoes (8) , laundry (6),
 Socks (8), trains (3), 250 (7), muffs ," cow (54)",, Cologne (8), planes, 200 (14), phones , sheep (4),
 17 (5), thread, bicycle (34), hold nose and blow (38) ," car (35)",, 10, safety pin (32), horse (36), yawn (28) , elephant,
 Doctor (23), 2 (25), bowling (17) ," on the floor",,, Teacher (5), 13 (16), golf (16), ant (40) , work (43),
 7 (19), cat (21), clip (22), toothbrushes (40) ," punching bag (40)",, 5 (18), frog (23), plate (4), car , faces (16),
 9 (19), Cheddar (21), dancing, church (26) ," sponge (20)",, 8 (18), Swiss/American (32), working (31), opera/theater (38) , brush,
 Mom (28), 5 (15), pitcher (7), road (37) ," hockey",, Dad (4), 7 (21), jug (10), ball (12) , basketball (2),
 2 (16), plain (16), leek/leak (6), watch TV (21) ," fish (12)",, 1 (21), everything (17), seek (8), pedal (6) , dog (50),
 Friend's home, 8 (16), back (42), $ (47) ," wedding (50)",, Mall/store (4), 1 (25), eyebrows (9), spouse/mate , Bar Mitzvah,
 Hamburgers (3), 45 (4), $ (41) ," Beagle",,, Wings (29), 40 (4), air, car (17) , bear (45),
 Bride (40), kindergarten, feet (23), sleep (39) ," dog (34)",, Groom (36), high school, stomach (28) , arrow,,
 Yr. (35), Kong (29), glovebox (38), beak (44) ," pastor (27)",, Two yrs. (8), -dom (22), ashtray, wings , bride/groom ,
 Bedroom (27), 10 (31), Coast, chicken (39) ," church (14)",, L.R. (17), 5 (15), security (13), fries (17) , theater (47),
 Text (15), roller coaster (11), 7 (21), car (25) ," I.C. (2)",, Look away (7), rollerblades (22), 10 (11), horse , plant (9),
 5'10” (6), dong, swimming (8), mom (30) ," Chik-fil-A (17)",, 4'3″, nipples (2), tennis (6), spouse/mate (15) , KFC (54),
 Three (21), butt (10), accountant, poop (34) ," test (10)",, Four (7), legs (11), doctor (16), gum (10) , best (41),
 Club (28), three (19), sink (20), mayo (13) ," boss (13)",, Fire (17), two (23), stink (22), Ranch (6) , spouse/mate (49),
 Christmas, 6 (16), water bottles (14) ," spouse/mate (55)",,, Birthday (38), 10 (2), sport , sister,,
 Lipstick (20), soccer (23), madam (4), 60 (9) ," being fed (38)",, Brushes (14), volleyball (4), dame (26), 50 (33) , walk-walking (13),
 T.P. (4), 15%, ostrich (33), drizzle (43) ," TV (35)",, Gas (28), 10% (31), eagle (31), tizzle , sleep,
 Four (2), drive (6), elephant (14), bladder (10) ," classrooms (7)",, 10 (16), talk (2), rhino, spending (22) , buses (45),
 Mittens/gloves (22), mold, two months (11), human (33) ," patty (7)",, Boots (9), moles, half a yr. (20), ape (29) , dice,
 Three (26), car (20), hole, curl (47) ," plastic (2)",, Seven (10), train (7), hose, comb (14) , cotton (10),
 Mom (23), 13 (14), football (25), past experience (33) ," nose (14)",, Spouse/mate (19), 14 (2), basketball (26), lies , feet (9),
 Four (6), crotch (11) ," olive oil (34)",,,, Three (30), face (14), butter, pound , Christmas (49),
 1 (4), fired (22), drink (25), dogs (2) ," lizard (4)",, 5 (23), late (17), pose NAKED (20), ears (6) , llama (17),
 Girlfriend (35), 8 (29), pal (34), trumpet (4) ," world (53)",, Mom (46), 10, bestie, guitar , land,
 Valentine's Day, cars (2), neck (2), twice (11) ," orange (7)",, Super Bowl (10), strollers (9), eyes, three (15) , watermelon (50),
 4 (11), ham (4), tires (26), bling (13) ," acrobat (8)",, 2 (7), cheese (24), volume (knobs)(22), queen , clown (57),
 Three (24), lips (13), tag (33), dragon (52) ," breathe (44)",, Five (12), hips, hide and seek (20), instruments , push (45),
 Old age (27), dress (3), birds (26), six (16) ," vacuum (17)",, Hairspray, shirt (16), anteater (14), five (35) , doorbell (3),
 90% (7), drawer (8), marriage/relationship (4), caterpillar ," ketchup (51)",, 75% (18), treat, debt (22), spider (30) , mustard (21),
 5 (16), I.C. (16), bathtub (32), Ms. Piggy (40) ," bra (50)",, 8 (14), pizza (10), toilet (5), Kermit (38) , heels,
 Driver's license (25), 7 (3), jewels (4), cereal (42) ," hammer (57)",, Birth certificate (30), 8 (6), fat, snow (49) , screwdriver,
 Spouse/mate (20), eat (5), Money (4), 21 ," football (51)",, Mom (5), bathe/shower (18), Soul (27), 16 (36) , basketball (6),
 Pet/animal (31), 12, jewelry (38), Lincoln (40) ," stars (48)",, Car (10), 15 (22) , Washington (36),,,
 Gorilla, flowers (16) ," half-hr. (30)",,,, Sex (18), walrus, grass (26), hr. (12) , pool (46),
 Underpants/clothes (27), toilet tissue (8), turtle (2), sodium (27) ," eight yrs. (9)",, Baby (24), books (27), lion (2), cholesterol , seven yrs. (13),
 4 (13), dog, digger (34), church (19) ," diet (57)",, 2 (16), hamster (2), yard (7), school (30) , exercise (36),
 Food (28), 16 (26), leadership, Halloween (21) ," books (11)",, Sleep (28), 15 (5), pillow (4), Christmas (2) , homework (42),
 Four (13), vodka (11), wealthy (2), seashells (8) ," Ranch (46)",, Three (5), tequila (23), retirement (3), sharks (32) , Caesar,
 Car (31), 30 (4), tournaments, food/milk (40) ," legs (32)",, Woman (19), 45 (2), pins (34), coupons , hair (55),
 Four (25), elephant (6), tongue (18) ," chest (12)",,, 22, dog (18), thighs, bridge (6) , fruit (41),
 5 (13), alligator (5), go (25), movies (32) ," steering wheel (2)",, 7 (3), ostrich (6), be (31), concerts (29) , engine,
 50% (35), bugs/spiders (34), truck, burger (40) ," poison ivy (42)",, 40% (4), robber (4), out of the way, pizza , cactus (46),
 Buy wig (23), pencil box (22), P.B. (21), roadkill (19) ," Walmart/store (50)",, Get implants (8), backpack (28), chocolate (11), trash (30) , theater,
 Church (34), Finger (20), TVs (22), alligator (28) ," once a wk. (53)",, Thumb (2), Internet (21), porcupine , twice a wk. (2),,
 Purse, 30 days (9), Dr. (13), rest (4) ," hair (51)",, Keys (11), couple days (3), lawyer (8), $ (2) , eyes (19),
 5 (22), spouse/mate (36), copper (33), sippy (3) ," phone (47)",, 8 (17), pastor/clergy, nickel (23), tea (26) , Social Security,
 Bear (5), 8 (11), America (32), TV (26) ," face (53)",, Wolf, 7 (9), man, towel (35) , hands (19),
 5 (27), pillow (2), electrical engineer, travel (17) ," smoking (41)",, 3 (15), blouse, doctors (10), party (2) , big nose ,
 Mar. (6), SNICKERS (22), people, wing (10) ," ring/jewelry (8)",, Jan. (18), Baby Ruth (17), work (6), breast (40) , car (22),
 Dress (16), 10 (29), the middle, they look at you ," m&ms (11)",, Sleep w/ (12), 9 (13), two other people, spouse/mate (43) , Musketeers ,
 Lion (6), 6 (6), flowers (42), Valentine's Day (48) ," breath (44)",, Bull (38), 8 (9), candy/chocolates (4), Christmas (35) , hair,
 Lights (26), bear (3), beauty (46), Sun. (48) ," eggs (29)",, Ornaments (17), whale (15), smart (34), Sat. , baskets,
 8 (25), heaters/furnaces (28), hair (9), shelf (6) ," shirts/blouses (47)",, 5 (22), fireplaces (20), breasts (18), mark (27) , hats,
 Hairdresser (19), 2, basketball (4), Bowl (11) ," ham ",, Hostess, 4 (7), soccer (9), hero (5) , PB&J,
 Blue (16), tooth (34), chicken wings (35), 13 (33) ," nothing (60)",, Green, hair (7), pizza (28) , 15,,
 20 min., football (9), fly (8), car (35) ," food (2)",, Day (9), basketball (6), roach (24), home (10) , wings (12),
 80% (2), plane (27), dishes (22), dog (21) ," Dr. (54)",, 60% (8), amusement ride (4), trash (6), cat (13) , chiropractor ,
 Undies (11), two months (3), home (34), Sun. (39) ," whale (4)",, Coat/jacket (20), half-yr. (5), car (31), Sat. (36) , elephant (59),
 10 (5), flocker, tires, Kool-Aid (10) ," brown (21)",, Five (5), rocker (13), oil (5), coffee (45) , green (13),
 Two (30), heart (33), hungry (41), wash dishes (41) ," tank (43)",, One (34), brain, tired, wash hands , fins ,
 9 (25), kitchen (32), mascara (45) ," juice",,, 8 (20), chaps (11), L.R. (19), eyeliner (30) , milk (54),
 KS, mashed potatoes, grease (20), two (7) ," service (18)",, CA (11), collards (4), oil (28), three (14) , stick (47),
 Cars (37), 31, hill (30), bird (16) ," oven (49)",, Clothes (22), 15, river (3- rainbow tied for #1 w/ hill), fly (47) , fridge,
 Two (33), flitter (3), Statue of Liberty (34), soda (3) ," baked (50)",, One (19), jitter, Broadway (5), love , broiled (24),
 Zookeeper (12), 9 (9), brushes (9), day (40) ," mouse ears (48)",, Attorney, 5 (20- tied for #1 w/ 7), scissors (14), ice , shot glasses,
 7 (12), $ (36), pool (41), mailman/people/strangers (42) ," mouse (45)",, 10 (15), food (29), person, cat , house,
 Eight (11), ham , cheese (25), lion (11), recliner (2) ," feet (2)", Seven (23), Italian, tiger (5), TV (36) , belly (54),
 10 (2), doctor (20), look at phone (4), burger (12) ," his daughters",, 6 (11), beds (22), sleep (7), nachos (26) , his mom (45) ,
 Chocolate (31), $5 (33), windows (4), dog (7) ," baseball (50)",, Cake (3- chocolate , I.C. tied for #1), $10 (27), table (9) , golf (43),
 Thanksgiving (23), $50 (28), yellow (18), hunt (18) ," shorts",, New Yr.'s (Eve)(20), $20 (16), red (26), Island (41) , shirt (51),
 Got married/love (20), $10K (4), pizza, cigarettes (25) ," Christmas (50) ",, Grand Canyon (8), $5K (5), dough, wolves (34) , Thanksgiving (19),
 Six (14), vitamins (5), blue jay, apron ," red (50)",, Three (7), water (18), peacock, toaster oven , yellow (6),
 Nipple (10), vodka (14), three (16), sleeping (30) ," fire (4)",, Bellybutton (43), scotch (20), 10 (3), TV/movies (41) , swatter (28),
 Funeral (26), five (32), droop (2), bedtime stories (31) ," turkey (36)",, Church (26), six (14), soup (9), drink/food (44) , chicken,
 10 (13), the Kid (13), beagle (22), PB&J (39) ," socks (45)",, 12 (26), Smokes, basset hound (22), bologna (6) , shirt (12),
 Two days, strawberry (12), -book (3), spouse/mate (38) ," fiddle (51)",, Month, orange (2), casket, brother , diddle (8),
 Stomach/waist (32), 5 (12), jeepers (32), hair on 'em (49) ," boats",, Butt (26), 6 (9), keepers (17), cat food (2) , homes (26),
 Lion (23), 10 (18), bird (4) ," deodorant (45)",,, Monkey (3), 6 (10), monkey , toothpaste (9),,
 Three (15), crackers (20), ball (10), spare tire (34) ," soccer (43)",, Seven (21- tied w/ one), pancakes (23), head (17), blanket (10) , swimming (18),
 Three (6), gold, socks (37), roller coaster (48) ," steel/metal (50)",, Seven, jewelry/watch (33), shorts (8), Ferris Wheel (26) , plastic,
 Donkey (22), noon (22), tools (4), shine (9) ," Vegas (19)",, Doberman (deer tied for #1), 5PM (5), cellphone (18), light (11) , NYC (48),
 9 (10), Big Bird (37), slide (30), icing/frosting (44) ," clothes (35)",, 8 (12), Elmo (32), swings, cherries , curtains,
 5 (15), TV (6), cup, CA (36) ," bleach (5)",, 4, car (23), horn (25), FL (11) , paper towels (42),
 Police (27), 10 (24), condom, cookies (6) ," back (14)",, Dad, 15 (2), raincoat (21), goods , knee/leg (58),
 Brushes (3), step (2), mechanics (2), noon (17) ," Rudolph (42)",, Mascara, “Blues” (28), doctor (8), 1PM (15) , Prancer (6) ,
 $1K (6), TVs (29), manners, surgeon ," dinner (50)",, $500 (13), kitchen (5), head (2), carpenter/woodworker (32) , taking a bath (7),
 25 (6), boy (6), swear at 'em (39) ," Roadrunner",,, 20 (32), face (2), NO booze (17), honk at 'em (15) , “SCOOBY-DOO”,
 Stripper/exotic dancer (34), six (2), peach (36), ball (42) ," blue (46)",, Detective (13), four (7), cherry (37), check , pink,
 Fine (29), 10 (9), lies (16), bread (15) ," once a wk. (7)",, Great (11), 5 (26), stealing (4), gravy (4) , daily (46),
 50 (32), towels (20), David, CA (44) ," apple (60)",, 40 (21), food (26- tied w/ coolers), mattress, ME , cherry,
 Car (10), 5 (21), pasta/noodles (21), $ (35) ," thick skin (9) ",, New wardrobe (12), 0, sandwich (5), guns (12) , huge (50),
 Muscles (29), 5 (25), hairstylist (35), children (37) ," brown (50)",, Mustache, 10, model, dogs , white (16),
 Day, DisneyWorld (20), guns, toupee (10) ," $ (30)",, Hr. (28), CHUCK E. CHEESE'S (19), $/wallet (39), umbrella (41) , patience (55),
 Two (17), throw (31), helmet (2), sink (26) ," children (50)",, Three (29), kick (30), mask, toilets (46) , plane,
 5 (31), Game, age (26), hair/fur (30) ," massage (9)",, 1 (13), Stock, if wife's butt big (18), have owners (7) , jewelry (15),
 Spouse/mate (5), two (25), “…to the World” (24), trading cards (7) ," cry (50)",, Looks, three (20), cars (11) , dirty diapers (12),,
 Bathroom (9), 8 (14), mom (15), boil (34) ," elephant (53)",, Tractor, 7 (11), dad, spoil (10) , cow (11),
 Clean (31), 12 (27), muster (19), rooster (40) ," fork (36)",, Raise kids, 11 (4), duster (23), alarm clock (42) , napkins,
 3PM (10), humming, train/subway (29), meat (46) ," bubble (49)",, 5PM (29), pigeon (33), gas (28) , stubble,,
 8 (29), read (14), rummy (15), Puffs (32) ," doctor (52)",, 10 (9), watch TV (2), solitaire (4), butter (17) , FBI,
 $100 (28), steel (27), black book (29), cars (34) ," butt (9)",, $125 (5- $50 tied for #1), honor (5), nicer home (7) , head (49),,
 Dishes (21), 9 (10), butt (10), food (24) ," knives (40)",, Fridge (2), 7 (15), breasts (32), learning (3) , pencils (45) ,
 3hrs (2), ears (30), toothpicks (44) ," orange (26)",,, 4hrs (8), Ball (17), trunk (38), Saran Wrap , plum ,
 Five (13), down (24), chef (2), take (12) ," red (60)",, 20 (10), in love (5), police, steak (2) , white (11),
 8AM (39), bread (12), meds (5), gloss (30) ," necklace/chain (51)",, 7AM (39), meat (10), blood pressure (16), gross , tie,
 Sex (19), legs (18), tiger (25), 5 (7) ," doughnut (8)",, Kiss (7), breasts (11), snake (11), 9 (13) , fish (15),
 Four (8), cluck (37), dishes (32), other drivers (36) ," nuts (50)",, Five (7), fly, clothes (5) , signs,,
 Plane (22), cow (29), money (30), umbrellas (41) ," two yrs. (8)",, Church (5), dog (34), paper (10), kites , three yrs. (3),
 Twice (21), TVs (34), AL (18), tar (8) ," hamburgers (42)",, Once (48), washer/dryer (4), TX (32), oil , hot dogs,
 Swaddle, apple (12), football (25), day (37) ," cat (15)",, Hold (20), tomato (15), soccer (24), three days (8) , elephant (9),
 $500, carton, yachts/boats (21), beauty (4) ," dress (14)",, $200K, and cookies (11), mansions (17), love (4) , booze (49),
 Mom (19), four (27), tail (45), bank (48) ," hands (33)",, Dad, five (32), mane, gas station , feet,
 Three (38), air fresheners (2), Junk/E (29), talk (43) ," crazy (39)",, Four (11), ears (32), Pig, walk (26) , daisy,
 Bull/cattle (26), FROOT LOOPS (12), car (28), 10 (8) ," apple (59)",, Cheetah (3), CORN POPS, home (3), 9 (9) , orange,
 Horse (13), jeans (17), 11AM (6), plum (34) ," yourself (3)",, Pig (18), dress (3), 8AM (20), lemon , basketballs (15),
